Formula,Metal,Insulator,MIT,Correct,Label,Stoichiometry,Crystal_structure,Average_MO_distance,Valence_electron,d_electron,Mass_density,Mean_electronegativity,Polarizability,Std_of_ionic_radius,Crystal_field_splitting,Electronic_corr,Respondent,Accuracy
CaFeO3,0,1,0,0,2,0,1,0,1,1,0,0,0,0,1,1,37,48
ReO3,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,37,48
MoO2,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,37,48
MoO3,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,37,48
Ag2BiO3,1,0,0,0,2,0,1,0,1,1,0,0,0,0,1,1,37,48
TiO,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,37,48
MnO,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,37,48
Ca2RuO4,0,1,0,0,2,0,1,0,0,1,0,0,0,0,1,1,37,48
NbO2,0,1,1,1,2,0,1,0,1,1,0,0,0,0,1,1,37,48
Sr2TiO4,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,37,48
Ti2O3,0,1,1,1,2,0,1,0,1,1,0,0,0,0,1,1,37,48
Cr2O3,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,37,48
KVO3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,37,48
BaVS3,0,1,0,0,2,0,1,0,1,1,0,0,0,0,1,1,37,48
SrCrO3,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,37,48
LaRuO3,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,38,48
LaFeO3,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,38,48
LaNiO3,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,38,48
CaFeO3,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,38,48
ReO3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,38,48
MoO2,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,38,48
MoO3,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,38,48
Ag2BiO3,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,38,48
TiO,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,38,48
MnO,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,38,48
Ca2RuO4,0,1,1,1,2,1,1,0,1,0,0,0,1,0,0,0,38,48
NbO2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,38,48
Sr2TiO4,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,38,48
Ti2O3,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,38,48
Cr2O3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,38,48
KVO3,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,38,48
BaVS3,1,0,1,1,2,1,1,0,0,0,0,0,1,0,0,0,38,48
SrCrO3,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,38,48
LaRuO3,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,39,74
LaFeO3,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,39,74
LaNiO3,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,39,74
CaFeO3,0,1,1,1,2,1,0,0,1,1,0,0,0,0,0,1,39,74
ReO3,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,39,74
MoO2,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,39,74
MoO3,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,39,74
Ag2BiO3,0,1,1,1,2,0,1,1,1,0,0,0,1,0,1,0,39,74
TiO,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,39,74
MnO,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,39,74
Ca2RuO4,1,0,1,1,2,0,1,1,1,1,0,0,0,0,0,1,39,74
NbO2,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,39,74
Sr2TiO4,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,39,74
Ti2O3,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,39,74
Cr2O3,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,39,74
KVO3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,39,74
BaVS3,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,39,74
SrCrO3,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,39,74
LaRuO3,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,40,74
LaFeO3,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,40,74
LaNiO3,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,40,74
CaFeO3,0,1,1,1,2,1,0,0,1,1,0,0,0,0,1,1,40,74
ReO3,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,40,74
MoO2,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,40,74
MoO3,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,40,74
Ag2BiO3,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,40,74
TiO,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,40,74
MnO,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,40,74
Ca2RuO4,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,40,74
NbO2,0,1,1,1,2,0,1,0,1,1,0,0,0,0,0,1,40,74
Sr2TiO4,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,40,74
Ti2O3,1,0,1,1,2,0,0,0,0,1,0,0,0,0,1,1,40,74
Cr2O3,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,40,74
KVO3,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,40,74
BaVS3,1,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,40,74
SrCrO3,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,40,74
LaRuO3,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,41,61
LaFeO3,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,41,61
LaNiO3,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,41,61
CaFeO3,0,1,0,0,2,0,1,0,0,1,0,0,0,0,1,0,41,61
ReO3,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,41,61
MoO2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,41,61
MoO3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,41,61
Ag2BiO3,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,41,61
TiO,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,41,61
MnO,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,41,61
Ca2RuO4,1,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,41,61
NbO2,0,1,1,1,2,0,1,0,0,1,0,0,0,0,1,0,41,61
Sr2TiO4,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,41,61
Ti2O3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,1,41,61
Cr2O3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,41,61
KVO3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,41,61
BaVS3,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,41,61
SrCrO3,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,41,61
LaRuO3,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,42,68
LaFeO3,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,42,68
LaNiO3,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,42,68
CaFeO3,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,42,68
ReO3,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,42,68
MoO2,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,42,68
MoO3,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,42,68
Ag2BiO3,0,1,1,1,2,1,1,1,1,1,0,1,0,0,1,0,42,68
TiO,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,42,68
MnO,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,42,68
Ca2RuO4,1,0,1,1,2,1,1,1,1,1,0,1,0,0,1,0,42,68
NbO2,1,0,1,1,2,1,1,1,1,1,0,1,0,0,1,0,42,68
Sr2TiO4,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,42,68
Ti2O3,1,0,0,0,2,1,0,1,1,1,0,1,0,0,0,0,42,68
Cr2O3,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,42,68
KVO3,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,42,68
BaVS3,1,0,1,1,2,1,1,1,1,1,0,1,0,0,1,0,42,68
SrCrO3,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,42,68
LaRuO3,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,43,48
LaFeO3,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,43,48
LaNiO3,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,43,48
CaFeO3,0,1,0,0,2,0,0,0,0,1,0,1,1,0,1,0,43,48
ReO3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,43,48
MoO2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,43,48
MoO3,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,43,48
Ag2BiO3,1,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,43,48
TiO,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,43,48
MnO,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,43,48
Ca2RuO4,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,43,48
NbO2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,43,48
Sr2TiO4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,43,48
Ti2O3,1,0,1,1,2,1,0,0,0,0,0,1,0,0,0,0,43,48
Cr2O3,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,43,48
KVO3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,43,48
BaVS3,1,0,1,1,2,0,0,0,1,1,0,1,0,0,0,0,43,48
SrCrO3,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,43,48
LaRuO3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,44,65
LaFeO3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,44,65
LaNiO3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,44,65
CaFeO3,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,44,65
ReO3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,44,65
MoO2,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,44,65
MoO3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,44,65
Ag2BiO3,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,44,65
TiO,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,44,65
MnO,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,44,65
Ca2RuO4,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,44,65
NbO2,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,44,65
Sr2TiO4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,44,65
Ti2O3,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,44,65
Cr2O3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,44,65
KVO3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,44,65
BaVS3,1,0,1,1,2,0,0,0,0,0,0,1,1,0,1,0,44,65
SrCrO3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,44,65
LaRuO3,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,45,74
LaFeO3,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,45,74
LaNiO3,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,45,74
CaFeO3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,45,74
ReO3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,45,74
MoO2,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,45,74
MoO3,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,45,74
Ag2BiO3,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,45,74
TiO,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,45,74
MnO,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,45,74
Ca2RuO4,1,0,1,1,2,0,0,0,0,1,0,0,0,0,1,1,45,74
NbO2,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,1,45,74
Sr2TiO4,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,45,74
Ti2O3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,45,74
Cr2O3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,45,74
KVO3,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,45,74
BaVS3,1,0,1,1,2,1,0,0,0,1,0,0,0,0,0,1,45,74
SrCrO3,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,45,74
LaRuO3,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,46,65
LaFeO3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,46,65
LaNiO3,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,46,65
CaFeO3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,46,65
ReO3,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,46,65
MoO2,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,46,65
MoO3,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,46,65
Ag2BiO3,1,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,46,65
TiO,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,46,65
MnO,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,46,65
Ca2RuO4,1,0,1,1,2,1,1,0,0,1,0,0,0,0,0,0,46,65
NbO2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,46,65
Sr2TiO4,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,46,65
Ti2O3,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,46,65
Cr2O3,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,46,65
KVO3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,46,65
BaVS3,1,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,46,65
SrCrO3,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,46,65
LaRuO3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,47,68
LaFeO3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,47,68
LaNiO3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,47,68
CaFeO3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,47,68
ReO3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,47,68
MoO2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,47,68
MoO3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,47,68
Ag2BiO3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,47,68
TiO,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,47,68
MnO,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,47,68
Ca2RuO4,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,47,68
NbO2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,47,68
Sr2TiO4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,47,68
Ti2O3,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,47,68
Cr2O3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,47,68
KVO3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,47,68
BaVS3,1,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,47,68
SrCrO3,1,0,1,,1,1,0,0,0,1,0,0,0,0,0,0,47,68
LaRuO3,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,48,68
LaFeO3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,48,68
LaNiO3,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,48,68
CaFeO3,1,0,1,1,2,1,1,0,0,1,0,0,0,0,1,1,48,68
ReO3,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,48,68
MoO2,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,48,68
MoO3,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,48,68
Ag2BiO3,1,0,1,1,2,1,0,0,1,0,0,0,0,0,1,1,48,68
TiO,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,48,68
MnO,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,48,68
Ca2RuO4,1,0,1,1,2,1,1,0,1,1,0,0,0,0,1,1,48,68
NbO2,1,0,1,1,2,1,1,0,1,1,0,0,0,0,1,1,48,68
Sr2TiO4,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,48,68
Ti2O3,1,0,1,1,2,1,1,0,1,1,0,0,0,0,1,1,48,68
Cr2O3,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,48,68
KVO3,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,48,68
BaVS3,1,0,1,1,2,1,1,0,1,1,0,0,0,0,1,1,48,68
SrCrO3,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,48,68
LaRuO3,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,49,55
LaFeO3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,49,55
LaNiO3,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,49,55
CaFeO3,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,1,49,55
ReO3,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,49,55
MoO2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,49,55
MoO3,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,49,55
Ag2BiO3,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,49,55
TiO,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,49,55
MnO,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,49,55
Ca2RuO4,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,1,49,55
NbO2,0,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0,49,55
Sr2TiO4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,49,55
Ti2O3,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,49,55
Cr2O3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,49,55
KVO3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,49,55
BaVS3,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,49,55
SrCrO3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,49,55
LaRuO3,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,50,48
LaFeO3,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,50,48
LaNiO3,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,50,48
CaFeO3,0,1,1,1,2,1,1,1,0,1,0,0,0,1,1,1,50,48
ReO3,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,50,48
MoO2,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,50,48
MoO3,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,50,48
Ag2BiO3,0,1,1,1,2,1,1,1,0,1,0,0,0,1,1,1,50,48
TiO,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,50,48
MnO,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,50,48
Ca2RuO4,1,0,1,1,2,1,1,1,0,1,0,0,0,1,1,1,50,48
NbO2,0,1,1,1,2,1,1,1,0,1,0,1,0,1,1,1,50,48
Sr2TiO4,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,50,48
Ti2O3,0,1,1,1,2,1,1,1,0,1,0,0,0,1,1,1,50,48
Cr2O3,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,50,48
KVO3,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,50,48
BaVS3,0,1,1,1,2,1,1,1,0,1,0,0,0,1,1,1,50,48
SrCrO3,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,50,48
LaRuO3,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,51,45
LaFeO3,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,51,45
LaNiO3,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,51,45
CaFeO3,0,1,1,1,2,1,1,1,1,1,0,1,1,0,1,1,51,45
ReO3,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,51,45
MoO2,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,51,45
MoO3,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,51,45
Ag2BiO3,0,1,1,1,2,1,1,1,0,1,0,1,1,0,1,1,51,45
TiO,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,51,45
MnO,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,51,45
Ca2RuO4,0,1,1,1,2,1,1,0,1,1,0,1,1,0,1,1,51,45
NbO2,0,1,1,1,2,1,1,1,0,1,0,1,1,0,1,1,51,45
Sr2TiO4,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,51,45
Ti2O3,0,1,0,0,2,1,1,0,1,1,0,1,1,1,1,1,51,45
Cr2O3,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,51,45
KVO3,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,51,45
BaVS3,0,1,1,1,2,1,1,0,0,1,0,1,1,1,1,1,51,45
SrCrO3,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,51,45
LaRuO3,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,52,90
LaFeO3,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,52,90
LaNiO3,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,52,90
CaFeO3,0,1,1,1,2,0,1,0,1,1,0,0,0,0,1,1,52,90
ReO3,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,52,90
MoO2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,52,90
MoO3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,52,90
Ag2BiO3,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,52,90
TiO,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,52,90
MnO,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,52,90
Ca2RuO4,0,1,1,1,2,0,1,0,1,1,0,0,0,0,1,1,52,90
NbO2,1,0,1,1,2,0,1,0,0,1,0,0,0,0,0,1,52,90
Sr2TiO4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,52,90
Ti2O3,1,0,1,1,2,0,1,0,0,1,0,0,0,0,1,1,52,90
Cr2O3,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,52,90
KVO3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,52,90
BaVS3,0,1,1,1,2,0,1,0,0,1,0,0,0,0,1,1,52,90
SrCrO3,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,52,90
